"","Tracking.ID","Duration","Mean.Intensity","Var.Intensity","Track.Length","Dry.Mass","Mean.Speed"
"683",757,23,107.757089697796,278.223633971719,153.226989746094,377.299537990404,0.0036675161417489
"696",771,34,127.124793108772,236.456230244114,197.494323730469,750.508078182445,0.0032586422369632
"706",782,13,102.258103590745,101.434953371151,109.849105834961,263.845328697791,0.00508507962270718
"712",788,32,93.4845144748688,101.623826675787,248.716064453125,472.58952331543,0.0044155677183411
"719",796,30,113.531853993734,197.905507596866,184.158798217773,377.25485534668,0.00321669262986438
"724",802,32,91.6429424285888,69.4748644417461,154.121444702148,276.508076667786,0.00276213128592879
"729",808,30,161.383598327637,226.603118044979,239.493133544922,204.577270507813,0.00443145171297586
"732",811,29,89.0853826588598,135.060312907405,240.073287963867,342.47757799872,0.00452922544874517
"733",812,28,81.9466656276158,116.812895552515,281.500427246094,318.085800170898,0.00535470995776079
"737",816,17,96.3557743745692,307.33556774833,85.2986831665039,341.069655474495,0.00256479212839622
"740",819,29,99.4108489464069,106.759652547154,276.196624755859,237.376376974172,0.00547968039297432
"743",822,30,235.526306152344,915.742597840263,185.572204589844,312.072229003906,0.00355519234315203
"751",830,19,105.56215346487,88.5138323441132,115.843299865723,293.726948788292,0.00338491307209349
"752",831,29,116.943049989898,133.649112662568,214.635848999023,236.039530786975,0.0042587471949186
"755",834,12,105.940270741781,97.0959227207644,78.6580123901367,222.191736857096,0.00303267678034238
"758",837,27,113.61488116229,226.812775877917,172.780151367188,313.168398256655,0.00338477500190493
"759",838,12,127.507078170776,85.7691397187853,78.6513977050781,284.134591420492,0.00397247075505385
"765",844,14,86.0349589756557,25.5716804026685,107.864524841309,209.15075138637,0.00460984584284373
"775",854,12,81.9819831848145,113.666707405553,42.4872589111328,379.73294321696,0.00166127795819193
"776",855,22,91.8864225907759,175.575647647988,194.842681884766,345.447562477805,0.00479717507481664
"779",858,23,100.931080362071,144.962566022457,125.87247467041,275.685586017111,0.00306220598444766
"795",876,22,109.319195487282,190.453149847416,131.405349731445,272.126952431419,0.00347647946217053
"796",877,22,108.477218281139,366.713370623888,196.92903137207,225.524484114213,0.00520990164728747
